PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Deck,FamilySize,IsAlone,Title,TitleGroup,TicketPrefix,FarePerPerson,TicketCount,AgeBand,FareBand,FamilySizeBand,Age_Pclass,FPP_Pclass,Sex_Pclass,IsAlone_Sex,log_Fare,log_FarePerPerson,SexBin,Age_Sex,AgeBand_Sex,Deck_Pclass,Age_sq,SurnameCount
48,1,3,"O'Driscoll, Miss. Bridget",female,21.5,0,0,14311,7.75,Q,U,1,1,Miss,Common,NONE,7.75,1,2,0,0,64.5,23.25,3,1,2.169053700369523,2.169053700369523,1,21.5,2_female,U_3,462.25,1
49,0,3,"Samaan, Mr. Youssef",male,25.0,2,0,2662,21.6792,C,U,3,0,Mr,Common,NONE,7.226400000000001,1,2,1,1,75.0,21.6792,0,0,3.1214482048688246,2.107348494932844,0,0.0,2_male,U_3,625.0,1
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,S,U,2,0,Mrs,Common,NONE,8.9,2,1,1,1,54.0,26.700000000000003,3,0,2.9338568698359038,2.2925347571405443,1,18.0,1_female,U_3,324.0,2
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,S,U,6,0,Master,Common,NONE,6.614583333333333,6,0,2,3,21.0,19.84375,0,0,3.705920919968788,2.0300652682819424,0,0.0,0_male,U_3,49.0,6
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,S,U,1,1,Mr,Common,A/,7.8,1,2,0,0,63.0,23.4,0,0,2.174751721484161,2.174751721484161,0,0.0,2_male,U_3,441.0,1
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,C,D,2,0,Mrs,Common,PC,38.3646,3,3,2,1,49.0,38.3646,1,0,4.353230991152628,3.672866935273995,1,49.0,3_female,D_1,2401.0,4
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,S,U,2,0,Mrs,Common,NONE,13.0,1,2,1,1,58.0,26.0,2,0,3.295836866004329,2.6390573296152584,1,29.0,2_female,U_2,841.0,1
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,C,B,2,0,Mr,Common,NONE,30.9896,1,4,2,1,65.0,30.9896,0,0,4.142804513146981,3.465410849975781,0,0.0,4_male,B_1,4225.0,1
56,1,1,"Woolner, Mr. Hugh",male,40.0,0,0,19947,35.5,S,C,1,1,Mr,Common,NONE,35.5,1,3,2,0,40.0,35.5,0,0,3.597312260588446,3.597312260588446,0,0.0,3_male,C_1,1600.0,1
57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,S,U,1,1,Miss,Common,C.A.,10.5,1,2,1,0,42.0,21.0,2,1,2.4423470353692043,2.4423470353692043,1,21.0,2_female,U_2,441.0,1
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,C,U,1,1,Mr,Common,NONE,7.2292,1,2,0,0,85.5,21.6876,0,0,2.1076888046179385,2.1076888046179385,0,0.0,2_male,U_3,812.25,1
59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,S,U,4,0,Miss,Common,C.A.,6.9375,3,0,1,2,10.0,13.875,2,0,3.3586377672433594,2.07159836421881,1,5.0,0_female,U_2,25.0,3
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,S,U,8,0,Master,Common,CA,5.8625,6,0,2,3,33.0,17.5875,0,0,3.8691155044168695,1.926071806835649,0,0.0,0_male,U_3,121.0,6
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,C,U,1,1,Mr,Common,NONE,7.2292,1,2,0,0,66.0,21.6876,0,0,2.1076888046179385,2.1076888046179385,0,0.0,2_male,U_3,484.0,1
62,1,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,S,B,1,1,Miss,Common,NONE,80.0,2,3,2,0,38.0,80.0,1,1,4.394449154672439,4.394449154672439,1,38.0,3_female,B_1,1444.0,1
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,S,C,2,0,Mr,Common,NONE,41.7375,2,3,2,1,45.0,41.7375,0,0,4.436455632600354,3.75507675496542,0,0.0,3_male,C_1,2025.0,4
64,0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,S,U,6,0,Master,Common,NONE,4.65,6,0,1,3,12.0,13.950000000000001,0,0,3.3638415951183864,1.7316555451583497,0,0.0,0_male,U_3,16.0,6
65,0,1,"Stewart, Mr. Albert A",male,40.0,0,0,PC 17605,27.7208,C,U,1,1,Mr,Common,PC,27.7208,1,3,1,0,40.0,27.7208,0,0,3.357621598945279,3.357621598945279,0,0.0,3_male,U_1,1600.0,1
66,1,3,"Moubarek, Master. Gerios",male,25.0,1,1,2661,15.2458,C,U,3,0,Master,Common,NONE,5.081933333333333,2,2,1,1,75.0,15.2458,0,0,2.7878344138303452,1.8053226278885095,0,0.0,2_male,U_3,625.0,2
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,S,F,1,1,Mrs,Common,C.A.,10.5,1,2,1,0,58.0,21.0,2,1,2.4423470353692043,2.4423470353692043,1,29.0,2_female,F_2,841.0,1
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,S,U,1,1,Mr,Common,S.P.,8.1583,1,1,0,0,57.0,24.4749,0,0,2.2146605719425225,2.2146605719425225,0,0.0,1_male,U_3,361.0,1
69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,S,U,7,0,Miss,Common,NONE,1.1321428571428571,1,1,0,3,51.0,3.3964285714285714,3,0,2.188856327665703,0.7571275102233525,1,17.0,1_female,U_3,289.0,9
70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,S,U,3,0,Mr,Common,NONE,2.8875,1,2,0,1,78.0,8.662500000000001,0,0,2.2682524139135403,1.3577662775053525,0,0.0,2_male,U_3,676.0,1
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,S,U,1,1,Mr,Common,C.A.,10.5,1,2,1,0,64.0,21.0,0,0,2.4423470353692043,2.4423470353692043,0,0.0,2_male,U_2,1024.0,1
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,S,U,8,0,Miss,Common,CA,5.8625,6,1,2,3,48.0,17.5875,3,0,3.8691155044168695,1.926071806835649,1,16.0,1_female,U_3,256.0,6
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,S,U,1,1,Mr,Common,S.O.C.,73.5,5,2,2,0,42.0,147.0,0,0,4.310799125385514,4.310799125385514,0,0.0,2_male,U_2,441.0,1
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,C,U,2,0,Mr,Common,NONE,7.2271,1,2,1,1,78.0,21.6813,0,0,2.737880811060884,2.107433583211985,0,0.0,2_male,U_3,676.0,1
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,S,U,1,1,Mr,Common,NONE,56.4958,7,2,2,0,96.0,169.4874,0,0,4.05171190165724,4.05171190165724,0,0.0,2_male,U_3,1024.0,1
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,S,F,1,1,Mr,Common,NONE,7.65,1,2,0,0,75.0,22.950000000000003,0,0,2.157559320943788,2.157559320943788,0,0.0,2_male,F_3,625.0,1
77,0,3,"Staneff, Mr. Ivan",male,25.0,0,0,349208,7.8958,S,U,1,1,Mr,Common,NONE,7.8958,1,2,0,0,75.0,23.6874,0,0,2.1855792552411137,2.1855792552411137,0,0.0,2_male,U_3,625.0,1
78,0,3,"Moutal, Mr. Rahamin Haim",male,25.0,0,0,374746,8.05,S,U,1,1,Mr,Common,NONE,8.05,1,2,0,0,75.0,24.150000000000002,0,0,2.2027647577118348,2.2027647577118348,0,0.0,2_male,U_3,625.0,1
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,S,U,3,0,Master,Common,NONE,9.666666666666666,2,0,1,1,1.66,19.333333333333332,0,0,3.4011973816621555,2.367123614131617,0,0.0,0_male,U_2,0.6889,2
80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,S,U,1,1,Miss,Common,NONE,12.475,2,2,1,0,90.0,37.425,3,1,2.600836116795061,2.600836116795061,1,30.0,2_female,U_3,900.0,1
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,S,U,1,1,Mr,Common,NONE,9.0,1,2,0,0,66.0,27.0,0,0,2.302585092994046,2.302585092994046,0,0.0,2_male,U_3,484.0,1
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,S,U,1,1,Mr,Common,NONE,9.5,1,2,0,0,87.0,28.5,0,0,2.3513752571634776,2.3513752571634776,0,0.0,2_male,U_3,841.0,1
83,1,3,"McDermott, Miss. Brigdet Delia",female,21.5,0,0,330932,7.7875,Q,U,1,1,Miss,Common,NONE,7.7875,1,2,0,0,64.5,23.362499999999997,3,1,2.1733302571367834,2.1733302571367834,1,21.5,2_female,U_3,462.25,1
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,S,U,1,1,Mr,Common,NONE,47.1,1,2,2,0,28.0,47.1,0,0,3.8732821771117156,3.8732821771117156,0,0.0,2_male,U_1,784.0,1
85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,S,U,1,1,Miss,Common,SO/C,10.5,1,1,1,0,34.0,21.0,2,1,2.4423470353692043,2.4423470353692043,1,17.0,1_female,U_2,289.0,1
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,S,U,4,0,Mrs,Common,NONE,3.9625,2,2,1,2,99.0,11.8875,3,0,2.8243506567983707,1.6019096460133089,1,33.0,2_female,U_3,1089.0,2
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,S,U,5,0,Mr,Common,W./C.,6.875,4,1,2,2,48.0,20.625,0,0,3.5660053559634015,2.063693184711697,0,0.0,1_male,U_3,256.0,4
88,0,3,"Slocovski, Mr. Selman Francis",male,25.0,0,0,SOTON/OQ 392086,8.05,S,U,1,1,Mr,Common,SOTON/OQ,8.05,1,2,0,0,75.0,24.150000000000002,0,0,2.2027647577118348,2.2027647577118348,0,0.0,2_male,U_3,625.0,1
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,S,C,6,0,Miss,Common,NONE,43.833333333333336,4,2,4,3,23.0,43.833333333333336,1,0,5.575949103146316,3.802951910373784,1,23.0,2_female,C_1,529.0,4
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,S,U,1,1,Mr,Common,NONE,8.05,1,2,0,0,72.0,24.150000000000002,0,0,2.2027647577118348,2.2027647577118348,0,0.0,2_male,U_3,576.0,1
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,S,U,1,1,Mr,Common,NONE,8.05,1,2,0,0,87.0,24.150000000000002,0,0,2.2027647577118348,2.2027647577118348,0,0.0,2_male,U_3,841.0,1
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,S,U,1,1,Mr,Common,NONE,7.8542,1,2,0,0,60.0,23.5626,0,0,2.180891922715322,2.180891922715322,0,0.0,2_male,U_3,400.0,1
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,S,E,2,0,Mr,Common,W.E.P.,30.5875,1,3,2,1,46.0,30.5875,0,0,4.1299529896894684,3.4527614727143128,0,0.0,3_male,E_1,2116.0,1
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,S,U,4,0,Mr,Common,C.A.,5.14375,2,2,1,2,78.0,15.431249999999999,0,0,3.0715352369694915,1.8154353049133396,0,0.0,2_male,U_3,676.0,2
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,S,U,1,1,Mr,Common,NONE,7.25,1,3,0,0,177.0,21.75,0,0,2.1102132003465894,2.1102132003465894,0,0.0,3_male,U_3,3481.0,1
96,0,3,"Shorney, Mr. Charles Joseph",male,25.0,0,0,374910,8.05,S,U,1,1,Mr,Common,NONE,8.05,1,2,0,0,75.0,24.150000000000002,0,0,2.2027647577118348,2.2027647577118348,0,0.0,2_male,U_3,625.0,1
97,0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,C,A,1,1,Mr,Common,PC,34.6542,1,4,2,0,71.0,34.6542,0,0,3.57386695198272,3.57386695198272,0,0.0,4_male,A_1,5041.0,1
98,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,C,D,2,0,Mr,Common,PC,31.67915,1,2,2,1,23.0,31.67915,0,0,4.164465907853638,3.48673725986162,0,0.0,2_male,D_1,529.0,1
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,S,U,2,0,Mrs,Common,NONE,11.5,2,2,1,1,68.0,23.0,2,0,3.1780538303479458,2.5257286443082556,1,34.0,2_female,U_2,1156.0,2
100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,S,U,2,0,Mr,Common,NONE,13.0,2,2,1,1,68.0,26.0,0,0,3.295836866004329,2.6390573296152584,0,0.0,2_male,U_2,1156.0,2
101,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,S,U,1,1,Miss,Common,NONE,7.8958,1,2,0,0,84.0,23.6874,3,1,2.1855792552411137,2.1855792552411137,1,28.0,2_female,U_3,784.0,1
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,25.0,0,0,349215,7.8958,S,U,1,1,Mr,Common,NONE,7.8958,1,2,0,0,75.0,23.6874,0,0,2.1855792552411137,2.1855792552411137,0,0.0,2_male,U_3,625.0,2
103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,S,D,2,0,Mr,Common,NONE,38.64375,2,2,2,1,21.0,38.64375,0,0,4.360387947851531,3.6799333064000703,0,0.0,2_male,D_1,441.0,2
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,S,U,1,1,Mr,Common,NONE,8.6542,1,2,0,0,99.0,25.9626,0,0,2.267393053825037,2.267393053825037,0,0.0,2_male,U_3,1089.0,3
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,S,U,3,0,Mr,Common,NONE,2.6416666666666666,1,3,0,1,111.0,7.925,0,0,2.188856327665703,1.2924414523135441,0,0.0,3_male,U_3,1369.0,4
106,0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,S,U,1,1,Mr,Common,NONE,7.8958,1,2,0,0,84.0,23.6874,0,0,2.1855792552411137,2.1855792552411137,0,0.0,2_male,U_3,784.0,1
